Datetime,Energy Consumption (kWh),Day,Month,Day_of_Week,Week_of_Year,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_7
2023-11-06,372.95,6,11,0,45,406.94,421.91,361.25,396.70000000000005,396.0657142857143
2023-11-07,436.52,7,11,1,45,372.95,406.94,421.91,400.6000000000001,400.59857142857135
2023-11-08,438.41,8,11,2,45,436.52,372.95,406.94,405.46999999999997,414.1814285714286
2023-11-09,371.52,9,11,3,45,438.41,436.52,372.95,415.96,415.00714285714287
2023-11-10,416.47,10,11,4,45,371.52,438.41,436.52,415.48333333333335,401.35714285714283
2023-11-11,357.11,11,11,5,45,416.47,371.52,438.41,408.8,409.24571428571426
2023-11-12,403.71,12,11,6,45,357.11,416.47,371.52,381.7,399.98857142857145
2023-11-13,416.01,13,11,0,46,403.71,357.11,416.47,392.43,399.52714285714285
2023-11-14,403.7,14,11,1,46,416.01,403.71,357.11,392.27666666666664,405.67857142857144
2023-11-15,420.74,15,11,2,46,403.7,416.01,403.71,407.8066666666667,400.99000000000007
2023-11-16,427.2,16,11,3,46,420.74,403.7,416.01,413.48333333333335,398.4657142857142
2023-11-17,420.8,17,11,4,46,427.2,420.74,403.7,417.2133333333333,406.42
2023-11-18,412.82,18,11,5,46,420.8,427.2,420.74,422.91333333333336,407.0385714285714
2023-11-19,420.85,19,11,6,46,412.82,420.8,427.2,420.2733333333333,414.9971428571429
2023-11-20,401.86,20,11,0,47,420.85,412.82,420.8,418.1566666666667,417.44571428571425
2023-11-21,358.5,21,11,1,47,401.86,420.85,412.82,411.8433333333334,415.4242857142857
2023-11-22,472.56,22,11,2,47,358.5,401.86,420.85,393.7366666666667,408.96714285714285
2023-11-23,394.45,23,11,3,47,472.56,358.5,401.86,410.97333333333336,416.37
2023-11-24,402.02,24,11,4,47,394.45,472.56,358.5,408.50333333333333,411.6914285714286
2023-11-25,449.52,25,11,5,47,402.02,394.45,472.56,423.01,409.0085714285715
2023-11-26,396.67,26,11,6,47,449.52,402.02,394.45,415.33,414.2514285714286
2023-11-27,369.24,27,11,0,48,396.67,449.52,402.02,416.07,410.79714285714283
2023-11-28,434.33,28,11,1,48,369.24,396.67,449.52,405.1433333333334,406.13714285714286
2023-11-29,355.41,29,11,2,48,434.33,369.24,396.67,400.08,416.96999999999997
2023-11-30,430.7,30,11,3,48,355.41,434.33,369.24,386.32666666666665,400.2342857142857
2023-12-01,412.52,1,12,4,48,430.7,355.41,434.33,406.81333333333333,405.41285714285715
2023-12-02,377.78,2,12,5,48,412.52,430.7,355.41,399.54333333333335,406.91285714285715
2023-12-03,435.2,3,12,6,48,377.78,412.52,430.7,407.0,396.66428571428565
2023-12-04,370.47,4,12,0,49,435.2,377.78,412.52,408.5,402.16857142857145
2023-12-05,387.9,5,12,1,49,370.47,435.2,377.78,394.48333333333335,402.3442857142857
2023-12-06,404.59,6,12,2,49,387.9,370.47,435.2,397.8566666666666,395.7114285714286
2023-12-07,428.68,7,12,3,49,404.59,387.9,370.47,387.65333333333336,402.7371428571428
2023-12-08,383.87,8,12,4,49,428.68,404.59,387.9,407.0566666666666,402.4485714285714
2023-12-09,380.92,9,12,5,49,383.87,428.68,404.59,405.71333333333337,398.35571428571427
2023-12-10,420.28,10,12,6,49,380.92,383.87,428.68,397.8233333333333,398.80428571428575
2023-12-11,342.57,11,12,0,50,420.28,380.92,383.87,395.0233333333333,396.67285714285714
2023-12-12,447.04,12,12,1,50,342.57,420.28,380.92,381.25666666666666,392.6871428571429
2023-12-13,362.36,13,12,2,50,447.04,342.57,420.28,403.2966666666666,401.13571428571424
2023-12-14,412.62,14,12,3,50,362.36,447.04,342.57,383.99,395.1028571428571
2023-12-15,392.64,15,12,4,50,412.62,362.36,447.04,407.34,392.8085714285714
2023-12-16,378.7,16,12,5,50,392.64,412.62,362.36,389.20666666666665,394.0614285714286
2023-12-17,414.92,17,12,6,50,378.7,392.64,412.62,394.65333333333336,393.7442857142857
2023-12-18,431.86,18,12,0,51,414.92,378.7,392.64,395.42,392.97857142857146
2023-12-19,396.19,19,12,1,51,431.86,414.92,378.7,408.49333333333334,405.73428571428576
2023-12-20,395.58,20,12,2,51,396.19,431.86,414.92,414.3233333333333,398.46999999999997
2023-12-21,424.26,21,12,3,51,395.58,396.19,431.86,407.8766666666667,403.21571428571434
2023-12-22,391.36,22,12,4,51,424.26,395.58,396.19,405.3433333333333,404.87857142857143
2023-12-23,373.33,23,12,5,51,391.36,424.26,395.58,403.7333333333333,404.69571428571436
2023-12-24,445.9,24,12,6,51,373.33,391.36,424.26,396.31666666666666,403.92857142857144
2023-12-25,366.96,25,12,0,52,445.9,373.33,391.36,403.53,408.3542857142857
2023-12-26,442.63,26,12,1,52,366.96,445.9,373.33,395.3966666666667,399.0828571428571
2023-12-27,355.66,27,12,2,52,442.63,366.96,445.9,418.49666666666667,405.71714285714285
2023-12-28,378.84,28,12,3,52,355.66,442.63,366.96,388.4166666666667,400.0142857142857
2023-12-29,425.19,29,12,4,52,378.84,355.66,442.63,392.3766666666667,393.5257142857143
2023-12-30,373.69,30,12,5,52,425.19,378.84,355.66,386.56333333333333,398.3585714285714
2023-12-31,390.34,31,12,6,52,373.69,425.19,378.84,392.57333333333327,398.40999999999997
2024-01-01,399.22,1,1,0,1,390.34,373.69,425.19,396.4066666666667,390.47285714285715
